4642,01:17:22,1,17,22,4642,01:00-01:59,0,Late Night (00:00 AM To 02:59 AM)
18295,05:04:55,5,4,55,18295,05:00-05:59,1,Early Morning(03:00 AM To 6:59 AM)
18291,05:04:51,5,4,51,18291,05:00-05:59,1,Early Morning(03:00 AM To 6:59 AM)
66703,18:31:43,18,31,43,66703,18:00-18:59,7,Evening (18:00 PM To 23:59 PM)
75704,21:01:44,21,1,44,75704,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
75701,21:01:41,21,1,41,75701,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
58017,16:06:57,16,6,57,58017,16:00-16:59,6,PM Peak (16:00 PM To 17:59 PM)
18299,05:04:59,5,4,59,18299,05:00-05:59,1,Early Morning(03:00 AM To 6:59 AM)
78919,21:55:19,21,55,19,78919,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
1441,00:24:01,0,24,1,1441,00:00-00:59,0,Late Night (00:00 AM To 02:59 AM)
66714,18:31:54,18,31,54,66714,18:00-18:59,7,Evening (18:00 PM To 23:59 PM)
78758,21:52:38,21,52,38,78758,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
58014,16:06:54,16,6,54,58014,16:00-16:59,6,PM Peak (16:00 PM To 17:59 PM)
41192,11:26:32,11,26,32,41192,11:00-11:59,3,Mid Morning (9:00 AM To 11:59 AM)
42756,11:52:36,11,52,36,42756,11:00-11:59,3,Mid Morning (9:00 AM To 11:59 AM)
58016,16:06:56,16,6,56,58016,16:00-16:59,6,PM Peak (16:00 PM To 17:59 PM)
71713,19:55:13,19,55,13,71713,19:00-19:59,7,Evening (18:00 PM To 23:59 PM)
71711,19:55:11,19,55,11,71711,19:00-19:59,7,Evening (18:00 PM To 23:59 PM)
75457,20:57:37,20,57,37,75457,20:00-20:59,7,Evening (18:00 PM To 23:59 PM)
75700,21:01:40,21,1,40,75700,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
4646,01:17:26,1,17,26,4646,01:00-01:59,0,Late Night (00:00 AM To 02:59 AM)
60823,16:53:43,16,53,43,60823,16:00-16:59,6,PM Peak (16:00 PM To 17:59 PM)
82450,22:54:10,22,54,10,82450,22:00-22:59,7,Evening (18:00 PM To 23:59 PM)
71714,19:55:14,19,55,14,71714,19:00-19:59,7,Evening (18:00 PM To 23:59 PM)
58013,16:06:53,16,6,53,58013,16:00-16:59,6,PM Peak (16:00 PM To 17:59 PM)
38837,10:47:17,10,47,17,38837,10:00-10:59,3,Mid Morning (9:00 AM To 11:59 AM)
51167,14:12:47,14,12,47,51167,14:00-14:59,5,Mid Afternoon (14:00 PM To 15:59 PM)
82449,22:54:09,22,54,9,82449,22:00-22:59,7,Evening (18:00 PM To 23:59 PM)
80843,22:27:23,22,27,23,80843,22:00-22:59,7,Evening (18:00 PM To 23:59 PM)
51168,14:12:48,14,12,48,51168,14:00-14:59,5,Mid Afternoon (14:00 PM To 15:59 PM)
71715,19:55:15,19,55,15,71715,19:00-19:59,7,Evening (18:00 PM To 23:59 PM)
4645,01:17:25,1,17,25,4645,01:00-01:59,0,Late Night (00:00 AM To 02:59 AM)
71709,19:55:09,19,55,9,71709,19:00-19:59,7,Evening (18:00 PM To 23:59 PM)
62677,17:24:37,17,24,37,62677,17:00-17:59,6,PM Peak (16:00 PM To 17:59 PM)
62674,17:24:34,17,24,34,62674,17:00-17:59,6,PM Peak (16:00 PM To 17:59 PM)
4648,01:17:28,1,17,28,4648,01:00-01:59,0,Late Night (00:00 AM To 02:59 AM)
4643,01:17:23,1,17,23,4643,01:00-01:59,0,Late Night (00:00 AM To 02:59 AM)
75699,21:01:39,21,1,39,75699,21:00-21:59,7,Evening (18:00 PM To 23:59 PM)
