20131216,6953,26670,46680,47160,301040,296154,40.733,-73.9897,40.7165,40.7433,-73.9798,40.7165,1,480,1.1,CSH,7,0,0.5,0,0,7.5
20130222,12682,18638,26220,26640,235508,282829,40.7636,-73.9591,40.7165,40.7599,-73.973,40.7165,1,420,1.2,CSH,6.5,0,0.5,0,0,7
20130908,11928,41640,29280,29460,241116,255853,40.7748,-73.954,40.7165,40.7769,-73.9633,40.7165,1,180,0.67,CSH,4.5,0,0.5,0,0,5
20130129,7918,37830,53371,53973,20511,30240,40.7509,-74.0057,40.7165,40.7352,-73.9984,40.7165,1,601,1.7,CSH,8.5,0,0.5,0,0,9
20130608,3751,14896,57480,58140,82873,169172,40.7442,-73.9793,40.7165,40.7551,-73.9942,40.7165,1,660,1.31,CSH,9,0,0.5,0,0,9.5
20131226,11670,13166,45900,46200,264245,91907,40.7664,-73.9822,40.7165,40.7597,-73.9725,40.7165,1,300,0.84,CSH,5.5,0,0.5,0,0,6
20130729,12841,41748,51240,51540,76303,44511,40.7497,-73.9878,40.7165,40.7617,-73.9863,40.7165,1,300,1.03,CSH,5.5,0,0.5,0,0,6
20130228,11738,40296,26640,26940,254028,168780,40.7335,-73.9968,40.7165,40.7303,-73.9928,40.7165,1,300,0.82,CSH,5.5,0,0.5,0,0,6
20130713,12576,7495,70920,71340,118229,270332,40.7598,-73.9762,40.7165,40.7513,-73.9736,40.7165,1,420,0.99,CSH,6.5,0,0.5,0,0,7
20130215,13212,3428,57060,57360,130413,1215,40.7835,-73.9548,40.7165,40.7738,-73.9542,40.7165,1,300,0.97,CSH,5.5,0,0.5,0,0,6
20130223,8519,23500,25620,25800,181937,9539,40.7646,-73.9916,40.7165,40.7577,-73.9931,40.7165,1,180,0.71,CSH,4.5,0,0.5,0,0,5
20130218,4295,6059,46980,47460,84604,201892,40.759,-73.9839,40.7165,40.7794,-73.981,40.7165,1,480,1,CSH,7,0,0.5,0,0,7.5
20130601,2170,9093,37800,38220,279288,71586,40.778,-73.982,40.7165,40.7673,-73.9844,40.7165,1,420,1.05,CSH,6.5,0,0.5,0,0,7
