20060909,12503,0,63.9
20031223,77243,0.47,51.9
20010929,130706,0,64.3
20011109,78539,0,44.6
20100923,188335,0,58.8
20000825,69970,0,73.5
20011114,78539,0,43.1
20081218,84599,0.05,30
20100924,188335,0,61.5
20090722,62690,0.2,78.9
20100601,131459,0,80.9
20121230,62697,0.2,34
20000115,91947,0.11,37.4
20040602,84637,0.09,79.2
20011113,78539,0,34.8
20011111,78539,0,48.6
20090712,15973,0.2,72.9
20011105,78539,0,48.2
20031213,27113,0,29
20000226,91947,0.11,37.8
20100925,188335,0,63.1
20060326,161266,0.01,44
20010928,130706,0,65.3
20000714,62665,0,83
20000820,69970,0,78.2
20070802,70017,0.09,76.5
20100802,70017,0.09,76.5
20000715,62665,0,86.9
20100926,188335,0,63.8
20010102,6330,0,28.6
20090309,70017,0.09,44.5
20000115,77245,0.11,37.6
20080401,131459,0.05,49.7
20000817,69970,0,73.4
20000819,69970,0,73
20110903,77243,0.07,75.8
20080320,131459,0.05,38.9
20100928,188335,0,65.4
20091014,28503,0,59.6
20100531,131459,0,83.1
20040529,24569,0.09,71.5
20020520,218556,0.05,68.2
20091012,28503,0,66.5
20100927,188335,0,62.4
20000728,102529,0.11,76
20011110,78539,0,52.1
20120808,62665,0.2,77
20100609,131459,0,71.7
20090712,69952,0.2,72.4
20130809,268720,0.12,81.3
20101004,77237,0.02,75.9
20060710,272645,0.01,82.4
20011106,78539,0,54
20000729,102529,0.11,78.9
20060914,12503,0,61.3
20060911,12503,0,84.9
20060915,12503,0,61.8
20031216,27113,0,29.2
20080709,23770,0.05,82.7
20100929,188335,0,64.2
20060919,12503,0,65.2
20030209,70020,0.4,27.6
20010103,69924,0,29.2
20011120,78539,0,38
20100930,188335,0,65.8
20000906,69970,0,63.7
20011129,78539,0,34.3
20081122,253805,0.05,54.3
20101001,188335,0,65
20121118,24569,0.2,58.5
20060501,132907,0,56.3
20120913,69924,0.2,68.2
20000226,286071,0.11,37.9
20050525,19845,0.09,50.5
20011125,78539,0,29.4
20011124,78539,0,27.8
20120128,1314,0.2,32.3
20011115,78539,0,48.8
20031227,27113,0,35.3
20000313,286071,0.11,45.2
20101002,188335,0,73.2
20060804,272645,0.01,73.8
20010102,69924,0,28.3
20000721,62665,0,81.5
20000901,69970,0,79.4
20100226,84651,0.09,37.7
20130729,130706,0.09,79.1
20000724,62665,0,76
20101003,188335,0,71.3
20010109,6330,0,41.5
20130413,79080,0.09,48.7
20000809,41105,0.11,81.3
20080114,161866,0.05,47.1
20000826,69970,0,76.3
